pass_a,pass_b,commute,ab_path,ba_path,details
sccp,loop-rotate,true,results\paper_full\Dhrystone_dry\round_002\analysis\Dhrystone_dry\commutativity\sccp__then__loop-rotate.ll,results\paper_full\Dhrystone_dry\round_002\analysis\Dhrystone_dry\commutativity\loop-rotate__then__sccp.ll,
sccp,licm,false,results\paper_full\Dhrystone_dry\round_002\analysis\Dhrystone_dry\commutativity\sccp__then__licm.ll,results\paper_full\Dhrystone_dry\round_002\analysis\Dhrystone_dry\commutativity\licm__then__sccp.ll,"in function Proc2:
  in block %1 / %1:
    >   %3 = load i8, ptr @Char1Glob, align 1
    >   %4 = icmp eq i8 %3, 65
    >   %5 = add nsw i32 %2, 9

in function Func2:
  in block %2 / %2:
    <   %3 = getelementptr inbounds nuw i8, ptr %0, i64 1
    <   %4 = getelementptr i8, ptr %1, i64 1
    <   %5 = getelementptr i8, ptr %4, i64 1"
sccp,indvars,false,results\paper_full\Dhrystone_dry\round_002\analysis\Dhrystone_dry\commutativity\sccp__then__indvars.ll,results\paper_full\Dhrystone_dry\round_002\analysis\Dhrystone_dry\commutativity\indvars__then__sccp.ll,"in function Proc0:
  in block %7 / %7:
    >   br label %8
    <   br i1 false, label %8, label %10"
sccp,loop-unroll,false,results\paper_full\Dhrystone_dry\round_002\analysis\Dhrystone_dry\commutativity\sccp__then__loop-unroll.ll,results\paper_full\Dhrystone_dry\round_002\analysis\Dhrystone_dry\commutativity\loop-unroll__then__sccp.ll,"in function Proc8:
  in block %23 / %23:
    >   br label %25
    <   br i1 true, label %30, label %25"
sccp,reassociate,true,results\paper_full\Dhrystone_dry\round_002\analysis\Dhrystone_dry\commutativity\sccp__then__reassociate.ll,results\paper_full\Dhrystone_dry\round_002\analysis\Dhrystone_dry\commutativity\reassociate__then__sccp.ll,
loop-rotate,licm,true,results\paper_full\Dhrystone_dry\round_002\analysis\Dhrystone_dry\commutativity\loop-rotate__then__licm.ll,results\paper_full\Dhrystone_dry\round_002\analysis\Dhrystone_dry\commutativity\licm__then__loop-rotate.ll,
loop-rotate,indvars,false,results\paper_full\Dhrystone_dry\round_002\analysis\Dhrystone_dry\commutativity\loop-rotate__then__indvars.ll,results\paper_full\Dhrystone_dry\round_002\analysis\Dhrystone_dry\commutativity\indvars__then__loop-rotate.ll,"in function Proc0:
  in block %0 / %0:
    >   br i1 false, label %.lr.ph, label %9
    <   br label %7

in function Proc8:
  in block %4 / %4:
    <   %12 = add nsw i32 %2, 6
        %13 = sext i32 %2 to i64
        %14 = add nsw i64 %13, 5
    >   %14 = add i32 %2, 7
    >   %wide.trip.count = sext i32 %14 to i64
    >   %exitcond2 = icmp eq i64 %13, %wide.trip.count
    >   br i1 %exitcond2, label %19, label %.lr.ph
    <   %15 = sext i32 %12 to i64
    <   br label %16"
loop-rotate,loop-unroll,false,results\paper_full\Dhrystone_dry\round_002\analysis\Dhrystone_dry\commutativity\loop-rotate__then__loop-unroll.ll,results\paper_full\Dhrystone_dry\round_002\analysis\Dhrystone_dry\commutativity\loop-unroll__then__loop-rotate.ll,"in function Proc0:
  in block %16 / %16:
    in instruction   br label %17 /   br label %17:
      successor %17 cannot be equivalent to %17; it's already equivalent to %22
  in block %7 / %7:
    >   %.02 = phi i32 [ 0, %0 ], [ %23, %22 ]
    <   %.02 = phi i32 [ 0, %0 ], [ %18, %17 ]
  in block %17 / %22:
    >   %23 = add nuw nsw i32 %.02, 8
    >   %24 = icmp samesign ult i32 %23, 100000000
    >   br i1 %24, label %7, label %25, !llvm.loop !7
    <   %18 = add nuw nsw i32 %.02, 10
    <   %19 = icmp samesign ult i32 %18, 100000000
    <   br i1 %19, label %7, label %20, !llvm.loop !7

in function Proc2:
  in block %10 / %10:
    >   br i1 true, label %11, label %12
    <   br label %11

in function Proc8:
  in block %12 / %12:
    <   %13 = getelementptr inbounds [204 x i8], ptr %1, i64 %6
    <   %14 = sext i32 %5 to i64
    <   %15 = getelementptr inbounds [4 x i8], ptr %13, i64 %14
    <   store i32 %5, ptr %15, align 4"
loop-rotate,reassociate,true,results\paper_full\Dhrystone_dry\round_002\analysis\Dhrystone_dry\commutativity\loop-rotate__then__reassociate.ll,results\paper_full\Dhrystone_dry\round_002\analysis\Dhrystone_dry\commutativity\reassociate__then__loop-rotate.ll,
licm,indvars,false,results\paper_full\Dhrystone_dry\round_002\analysis\Dhrystone_dry\commutativity\licm__then__indvars.ll,results\paper_full\Dhrystone_dry\round_002\analysis\Dhrystone_dry\commutativity\indvars__then__licm.ll,"in function Proc8:
  in block %4 / %4:
    <   %12 = getelementptr inbounds [204 x i8], ptr %1, i64 %6
        %13 = sext i32 %2 to i64
        %14 = add nsw i64 %13, 5
        %15 = add i32 %2, 7
        %wide.trip.count = sext i32 %15 to i64
    >   %15 = getelementptr inbounds [204 x i8], ptr %1, i64 %6"
