pass_a,pass_b,commute,ab_path,ba_path,details
sccp,loop-simplify,true,results\paper_full\Stanford_IntMM\round_001\analysis\Stanford_IntMM\commutativity\sccp__then__loop-simplify.ll,results\paper_full\Stanford_IntMM\round_001\analysis\Stanford_IntMM\commutativity\loop-simplify__then__sccp.ll,
sccp,loop-rotate,true,results\paper_full\Stanford_IntMM\round_001\analysis\Stanford_IntMM\commutativity\sccp__then__loop-rotate.ll,results\paper_full\Stanford_IntMM\round_001\analysis\Stanford_IntMM\commutativity\loop-rotate__then__sccp.ll,
sccp,licm,true,results\paper_full\Stanford_IntMM\round_001\analysis\Stanford_IntMM\commutativity\sccp__then__licm.ll,results\paper_full\Stanford_IntMM\round_001\analysis\Stanford_IntMM\commutativity\licm__then__sccp.ll,
sccp,indvars,true,results\paper_full\Stanford_IntMM\round_001\analysis\Stanford_IntMM\commutativity\sccp__then__indvars.ll,results\paper_full\Stanford_IntMM\round_001\analysis\Stanford_IntMM\commutativity\indvars__then__sccp.ll,
sccp,loop-unroll,false,results\paper_full\Stanford_IntMM\round_001\analysis\Stanford_IntMM\commutativity\sccp__then__loop-unroll.ll,results\paper_full\Stanford_IntMM\round_001\analysis\Stanford_IntMM\commutativity\loop-unroll__then__sccp.ll,"in function main:
  in block %11 / %11:
    >   br label %12
    <   br i1 false, label %12, label %13"
loop-simplify,loop-rotate,true,results\paper_full\Stanford_IntMM\round_001\analysis\Stanford_IntMM\commutativity\loop-simplify__then__loop-rotate.ll,results\paper_full\Stanford_IntMM\round_001\analysis\Stanford_IntMM\commutativity\loop-rotate__then__loop-simplify.ll,
loop-simplify,licm,true,results\paper_full\Stanford_IntMM\round_001\analysis\Stanford_IntMM\commutativity\loop-simplify__then__licm.ll,results\paper_full\Stanford_IntMM\round_001\analysis\Stanford_IntMM\commutativity\licm__then__loop-simplify.ll,
loop-simplify,indvars,true,results\paper_full\Stanford_IntMM\round_001\analysis\Stanford_IntMM\commutativity\loop-simplify__then__indvars.ll,results\paper_full\Stanford_IntMM\round_001\analysis\Stanford_IntMM\commutativity\indvars__then__loop-simplify.ll,
loop-simplify,loop-unroll,true,results\paper_full\Stanford_IntMM\round_001\analysis\Stanford_IntMM\commutativity\loop-simplify__then__loop-unroll.ll,results\paper_full\Stanford_IntMM\round_001\analysis\Stanford_IntMM\commutativity\loop-unroll__then__loop-simplify.ll,
loop-rotate,licm,true,results\paper_full\Stanford_IntMM\round_001\analysis\Stanford_IntMM\commutativity\loop-rotate__then__licm.ll,results\paper_full\Stanford_IntMM\round_001\analysis\Stanford_IntMM\commutativity\licm__then__loop-rotate.ll,
loop-rotate,indvars,false,results\paper_full\Stanford_IntMM\round_001\analysis\Stanford_IntMM\commutativity\loop-rotate__then__indvars.ll,results\paper_full\Stanford_IntMM\round_001\analysis\Stanford_IntMM\commutativity\indvars__then__loop-rotate.ll,"in function Innerproduct:
  in block %6 / %6:
    >   %7 = phi i32 [ 0, %5 ], [ %17, %6 ]
    >   %indvars.iv2 = phi i64 [ 1, %5 ], [ %indvars.iv.next, %6 ]
    <   %indvars.iv = phi i64 [ 1, %5 ], [ %indvars.iv.next, %6 ]
    <   %7 = phi i32 [ 0, %5 ], [ %17, %6 ]
        %8 = sext i32 %3 to i64
        %9 = getelementptr inbounds [164 x i8], ptr %1, i64 %8
    >   %10 = getelementptr inbounds nuw [4 x i8], ptr %9, i64 %indvars.iv2
    >   %11 = load i32, ptr %10, align 4
    >   %12 = getelementptr inbounds nuw [164 x i8], ptr %2, i64 %indvars.iv2
    <   %10 = getelementptr inbounds nuw [4 x i8], ptr %9, i64 %indvars.iv
    <   %11 = load i32, ptr %10, align 4
    <   %12 = getelementptr inbounds nuw [164 x i8], ptr %2, i64 %indvars.iv
        %13 = sext i32 %4 to i64
    >   %14 = getelementptr inbounds [4 x i8], ptr %12, i64 %13
    >   %15 = load i32, ptr %14, align 4
    >   %16 = mul nsw i32 %11, %15
    >   %17 = add nsw i32 %7, %16
    >   store i32 %17, ptr %0, align 4
    >   %indvars.iv.next = add nuw nsw i64 %indvars.iv2, 1
    >   %exitcond = icmp ne i64 %indvars.iv.next, 41
    >   br i1 %exitcond, label %6, label %18, !llvm.loop !7
    <   %14 = getelementptr inbounds [4 x i8], ptr %12, i64 %13
    <   %15 = load i32, ptr %14, align 4
    <   %16 = mul nsw i32 %11, %15
    <   %17 = add nsw i32 %7, %16
    <   store i32 %17, ptr %0, align 4
    <   %indvars.iv.next = add nuw nsw i64 %indvars.iv, 1
    <   %exitcond = icmp ne i64 %indvars.iv.next, 41
    <   br i1 %exitcond, label %6, label %18, !llvm.loop !7"
